Model,Year,Color,Milage,Price
Volkswagen Golf,2018,Hvit,141192,721237
Audi A4,2002,Grønn,123292,481395
Volkswagen Golf,2016,Oransje,241504,890276
Mazda CX-5,2008,Sølv,196209,428965
BMW 3 Series,2021,Hvit,263010,129763
Audi A4,2012,Oransje,28737,94226
Volkswagen Golf,2005,Grå,32005,228135
Nissan Leaf,2007,Grå,34703,701937
Mazda CX-5,2010,Oransje,181408,253599
Ford Fiesta,2008,Rød,193595,72469
Volkswagen Golf,2018,Oransje,150925,115940
Mazda CX-5,2015,Sølv,181110,89534
Volkswagen Golf,2007,Rød,120886,532806
Mazda CX-5,2019,Oransje,20569,89496
Audi A4,2003,Rød,28183,190096
BMW 3 Series,2016,Grønn,67571,540752
Mazda CX-5,2006,Grå,213497,744796
Honda Civic,2003,Grå,215070,262038
Nissan Leaf,2013,Svart,152348,217982
Honda Civic,2011,Svart,259624,973925
Mazda CX-5,2000,Hvit,222079,91997
Mazda CX-5,2010,Rød,213440,116403
Audi A4,2007,Grønn,293178,256662
Audi A4,2012,Rød,272505,255715
Nissan Leaf,2003,Rød,129366,473535
Volkswagen Golf,2012,Sølv,44472,90413
Honda Civic,2003,Gul,170991,383156
BMW 3 Series,2011,Sølv,44756,75146
Tesla Model S,2021,Grå,142541,612835
Audi A4,2017,Blå,38779,54822
Tesla Model S,2017,Oransje,40302,577736
Mazda CX-5,2006,Oransje,278744,119457
BMW 3 Series,2021,Oransje,56394,62558
Tesla Model S,2012,Blå,233026,64036
Volvo XC60,2020,Svart,39400,63964
Volkswagen Golf,2011,Oransje,264294,108997
Mazda CX-5,2009,Rød,125041,235744
Nissan Leaf,2014,Blå,193196,586021
Mazda CX-5,2012,Sort,17691,89345
Ford Fiesta,2004,Svart,42565,146408
Mazda CX-5,2008,Gul,77853,317502
BMW 3 Series,2018,Rød,36913,95630
Audi A4,2010,Sølv,121125,368226
Toyota Corolla,2016,Hvit,44663,145028
BMW 3 Series,2006,Blå,223256,731023
Toyota Corolla,2019,Rød,26061,217533
Audi A4,2004,Sort,264258,389952
Honda Civic,2010,Hvit,37320,182289
BMW 3 Series,2005,Oransje,10973,713031
Mazda CX-5,2001,Hvit,252445,667243